"date","cons","invest","GDP","Empl","dPGDP","RW","R"
"1984Q3",1316.79196016393,1203.57053190392,1366.89308470475,1158.58793213885,1.2781337620883,145.243316463665,2.59853575000018
"1984Q4",1317.02808519725,1204.23018284299,1367.47216005059,1158.79675364316,1.3688324200015,145.579340189216,2.53091200000015
"1985Q1",1317.81858112167,1203.0459113587,1367.66260712729,1158.50928124723,1.32109576092025,146.085587009986,2.46174274999998
"1985Q2",1318.64675913581,1204.68727937942,1368.66825364202,1158.63742341831,1.20830533411835,146.407380155495,2.46057300000014
"1985Q3",1319.73757238412,1206.531493395,1369.65521025994,1158.97583497465,1.57095324760417,146.603065837326,2.31492974999992
"1985Q4",1320.5318850713,1206.68981191643,1370.24267630542,1159.25424204857,1.47184352663567,146.686116088092,2.16186974999993
"1986Q1",1320.69534122353,1205.75444174907,1369.72034897784,1159.44707969843,1.82082325625805,146.033221787527,2.19047925000001
"1986Q2",1322.47633204456,1209.20960451325,1371.52823327756,1159.84214610166,1.13836270443637,146.224645754304,1.99912049999989
"1986Q3",1323.25939621415,1210.49639572837,1372.15259834293,1160.1483811452,1.07883778467384,146.56597157381,1.93414725000002
"1986Q4",1323.88967951031,1212.07854060777,1372.81445080114,1160.40309081554,0.736513318315901,146.781086981232,1.96177625
"1987Q1",1324.06486858305,1209.8348391439,1372.00964556655,1160.43685407934,0.964771434466427,146.475341862091,1.99031800000002
"1987Q2",1325.8167680552,1213.6439069786,1373.7160579016,1160.86075755997,0.747431595795578,147.700219695172,2.03881599999991
"1987Q3",1326.76776848301,1215.44911645448,1374.70654354211,1161.16560612025,0.562618982866447,148.384725435009,2.05657249999993
"1987Q4",1328.04264307831,1216.95219980018,1376.08212092037,1161.28714283609,1.04817763354346,148.99563586694,2.05764849999996
"1988Q1",1328.12142167502,1218.60835265492,1376.81320688724,1161.73658374261,0.94196021843389,149.077485623053,1.83143324999984
"1988Q2",1328.84687585517,1220.54259788532,1377.50271724348,1162.00646778079,0.861804209926254,149.278724207417,1.78952074999982
"1988Q3",1330.30142315665,1222.30517211104,1378.66238871487,1162.33946192842,0.90077163620812,149.86983971706,1.97753249999965
"1988Q4",1331.02945336619,1224.22129995987,1379.9067324711,1162.56584371611,1.07477157983051,149.728655348259,2.08714649999961
"1989Q1",1331.61396096726,1226.75406253792,1380.73796109053,1163.07781870873,1.22594295042526,149.939491711735,2.32238799999979
